codetype,code,description,native
Other Cover,-D,"dead plant, this is added on to the end of another species code. ex: ""CAMA-D"". If it is unidentifiable, it will be marked as TD",
Terrestrial Plant,ABLA,Abronia latifolia (Yellow sand verbena),TRUE
Terrestrial Plant,ABMA,Abronia maritima (red sand verbena),TRUE
Terrestrial Plant,ABUM,Abronia umbellata (pink sand verbena),TRUE
Terrestrial Plant,ACGL,Acmispon glaber (deerweed),TRUE
Terrestrial Plant,ACMI,Acmispon micranthus (small-flowered lotus),TRUE
Terrestrial Plant,AMAR,Ammophila arenaria (Marram grass),FALSE
Terrestrial Plant,AMCH,Ambrosia chamissonis (beach bur),TRUE
Terrestrial Plant,ANAR,Anagallis arvensis (scarlet pimpernel)*,FALSE
Terrestrial Plant,ARCA,Artemisia californica (California Sagebrush),TRUE
Terrestrial Plant,ARDO,Arundo donax (giant reed)*,FALSE
Terrestrial Plant,ASNU,Astragalus nuttallii (Nuttall's milkvetch),TRUE
Terrestrial Plant,ATCA,Extriplex californica (California saltbush),TRUE
Terrestrial Plant,ATLE,"Atriplex leucophylla (sea scale, beach saltbush)",TRUE
Terrestrial Plant,ATLEN,"Atriplex lentiformis (quail bush, big saltbush)",TRUE
Terrestrial Plant,ATPR,"Atriplex prostrata (fat-hen, spear leaved saltbush)*",FALSE
Wrack,B,other brown algae,FALSE
Terrestrial Plant,BAPI,Baccharis pilularis (Coyote Brush),TRUE
Terrestrial Plant,BRDI,Bromus diandrus (Ripgut Brome)*,FALSE
Terrestrial Plant,BRNI,Brassica nigra (black mustard) *,FALSE
Terrestrial Plant,BRRA,Brassica rapa (field mustard)*,FALSE
Terrestrial Plant,BRRU,Bromus rubens (red brome)*,FALSE
Terrestrial Plant,BRXX,Brassica spp. *,FALSE
Wrack,C,Cystoseria spp. ,FALSE
Terrestrial Plant,CACH,Camissoniopsis cheiranthifolia (beach evening primrose),TRUE
Terrestrial Plant,CAED,Carpobrotus sp. (iceplant) * (includes C. edulis & C. chilensis),FALSE
Terrestrial Plant,CAMA,Cakile maritima (sea rocket)*,FALSE
Terrestrial Plant,CASO,Calystegia soldanella (beach morning glory),TRUE
Terrestrial Plant,CAXX,Carex spp. (sedges),FALSE
Terrestrial Plant,CHBU,Chenopodium berlandieri (pitseed goosefoot),TRUE
Terrestrial Plant,CIRH,Cirsium rhothophilum (Surf thistle),TRUE
Other Cover,CO,Cobble ,
Terrestrial Plant,COFI,Corethrogyne filaginifolia (California aster),TRUE
Terrestrial Plant,COPU,Conicosia pugioniformis (narrow-leaf iceplant),FALSE
Terrestrial Plant,CRCA,Croton californicus (California croton),TRUE
Terrestrial Plant,CYDA,Cynodon dactylon (Bermuda grass) *,FALSE
Other Cover,DF,drift fence ,
Terrestrial Plant,DISP,Distichlis spicata (saltgrass),TRUE
